file,z0,method,w_min,w_max,mse,mae,avg_window_size,n_deviations,n_steps
initial_value_5_samples_5000.csv,5,diff_ols,3,8,6.66735880285922,0.7967058536724556,7.971291866028708,555.0,627.0
initial_value_5_samples_5000.csv,5,ols,3,10,1.5221942750989181,0.9087411015687971,9.952191235059761,464.0,502.0
initial_value_5_samples_5000.csv,5,diff_ols,3,10,6.8256825962637775,0.8099428061930074,9.952191235059761,464.0,502.0
initial_value_5_samples_5000.csv,5,ols,3,12,1.7344238624284607,0.9743202284095283,11.928400954653938,388.0,419.0
initial_value_5_samples_5000.csv,5,diff_ols,3,12,5.402243446066805,0.8806573821795632,11.928400954653938,396.0,419.0
initial_value_5_samples_5000.csv,5,ols,3,15,2.0362065372621156,1.0559568833364144,14.875,322.0,336.0
initial_value_5_samples_5000.csv,5,diff_ols,3,15,1.9445769956813912,0.845292553592735,14.875,326.0,336.0
initial_value_5_samples_5000.csv,5,ols,4,8,1.1703802279586581,0.7994374413410842,7.982428115015974,547.0,626.0
initial_value_5_samples_5000.csv,5,diff_ols,4,8,3.2167693632191896,0.7492517871856921,7.982428115015974,567.0,626.0
initial_value_5_samples_5000.csv,5,ols,4,10,1.5392559024930168,0.9150582522427803,9.968063872255488,458.0,501.0
initial_value_5_samples_5000.csv,5,diff_ols,4,10,3.9030365677635372,0.7948906664785699,9.968063872255488,460.0,501.0
initial_value_5_samples_5000.csv,5,ols,4,12,1.818081446900314,0.9947268573115826,11.947368421052632,393.0,418.0
initial_value_5_samples_5000.csv,5,diff_ols,4,12,1.1688660349776754,0.7671332471116684,11.947368421052632,400.0,418.0
initial_value_5_samples_5000.csv,5,ols,4,15,2.084106560648963,1.0736608072658884,14.87202380952381,319.0,336.0
initial_value_5_samples_5000.csv,5,diff_ols,4,15,8.876077833969852,0.9735890454814045,14.87202380952381,329.0,336.0
initial_value_5_samples_5000.csv,5,ols,5,8,1.1882805706375874,0.802730360279405,7.9888,551.0,625.0
initial_value_5_samples_5000.csv,5,diff_ols,5,8,1.225586569582368,0.6602723176122213,7.9888,545.0,625.0
initial_value_5_samples_5000.csv,5,ols,5,10,1.3290673730545048,0.8546364135525368,9.972055888223553,455.0,501.0
initial_value_5_samples_5000.csv,5,diff_ols,5,10,2.3206401896321163,0.7665331236147976,9.972055888223553,461.0,501.0
initial_value_5_samples_5000.csv,5,ols,5,12,1.6910948730408464,0.9543810375557524,11.952153110047847,388.0,418.0
initial_value_5_samples_5000.csv,5,diff_ols,5,12,5.7856188767120855,0.8482432763040926,11.952153110047847,395.0,418.0
initial_value_5_samples_5000.csv,5,ols,5,15,2.0407964145946567,1.0584897813170246,14.913432835820895,320.0,335.0
