file,z0,method,w_min,w_max,mse,rmse,mae,mape,direction_accuracy,avg_changepoint_prob,avg_window_size,n_steps
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,5,12,78.91677558714778,8.883511444645512,6.664572437203276,8.315850938438205,56.2,0.01783872793188408,11.534883720930232,43.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,5,15,119.77179858830311,10.944030271719058,8.407614128802898,10.221737906927084,53.800000000000004,0.01783872793188408,13.777777777777779,36.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,3,8,0.20371483417142355,0.45134779734858965,0.3482822115374811,0.5065248531515313,76.35270541082164,0.021843991110838637,7.888888888888889,63.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,3,10,0.21214753967651248,0.46059476731342974,0.3497382481945425,0.530925368586838,75.2,0.021843991110838637,9.764705882352942,51.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,3,12,0.33112299267010853,0.5754328741652744,0.4295766414695647,0.6359100003877399,74.6,0.021843991110838637,11.581395348837209,43.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,3,15,0.49107523349281684,0.7007676030559752,0.5440751646003502,0.7911082922999771,76.6,0.021843991110838637,14.228571428571428,35.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,4,8,0.19499054824847237,0.4415773411855191,0.3244089988363151,0.5329204022925771,73.4,0.021843991110838637,7.888888888888889,63.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,4,10,0.3515582306599362,0.5929234610469856,0.4542200157204697,0.6858468525847138,74.4,0.021843991110838637,9.745098039215685,51.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,4,12,0.3310715413677785,0.5753881658218029,0.4479371940928857,0.6809615885416777,76.2,0.021843991110838637,11.55813953488372,43.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,4,15,0.4000019820054884,0.6324570989446544,0.5013691497079743,0.7686061743610285,77.71084337349397,0.021843991110838637,14.558823529411764,34.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,5,8,0.23829578255148084,0.48815549013760035,0.35892874335204794,0.6029308245435281,72.58064516129032,0.021843991110838637,7.935483870967742,62.0
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,ols,5,10,0.25059565379535303,0.5005952994139607,0.384508901254394,0.6318434190424997,72.69076305220884,0.021843991110838637,9.88,50.0
