file,z0,method,window_size,mse,mae,rmse,direction_accuracy,type
initial_value_80_samples_500_a_0.1_b_100_delta_0.5.csv,80,ols,12,7.428297116861196,2.029980878661243,2.725490252571305,48.676171079429736,fixed
initial_value_80_samples_500_a_0.1_b_100_delta_0.5.csv,80,ols,15,8.639247821644128,2.1842578990700265,2.939259740418347,48.178137651821864,fixed
initial_value_80_samples_500_a_0.2_b_150_delta_2.0.csv,80,ols,3,31.59044712552344,4.263470409385397,5.620537974742581,48.0,fixed
initial_value_80_samples_500_a_0.2_b_150_delta_2.0.csv,80,ols,4,29.286011993068897,4.063218529173409,5.411655199018956,53.90781563126252,fixed
initial_value_80_samples_500_a_0.2_b_150_delta_2.0.csv,80,ols,5,36.662653287128514,4.44841483757175,6.0549693052177,52.104208416833664,fixed
initial_value_80_samples_500_a_0.2_b_150_delta_2.0.csv,80,ols,8,41.4873134195943,4.939137732616117,6.441064618492373,51.31313131313131,fixed
initial_value_80_samples_500_a_0.2_b_150_delta_2.0.csv,80,ols,10,71.06180281616358,6.761669389442536,8.42981629788951,45.69138276553106,fixed
initial_value_80_samples_500_a_0.2_b_150_delta_2.0.csv,80,ols,12,57.20800155489494,5.345253509577494,7.5635971306578025,47.25050916496945,fixed
initial_value_80_samples_500_a_0.2_b_150_delta_2.0.csv,80,ols,15,71.85718914647786,6.219663546382883,8.476861986990107,44.12955465587044,fixed
initial_value_80_samples_500_a_0.3_b_120_delta_1.0.csv,80,ols,3,11.061213215898714,2.5272877263553557,3.3258402270552194,46.0,fixed
initial_value_80_samples_500_a_0.3_b_120_delta_1.0.csv,80,ols,4,14.835827433865495,2.8658176296673057,3.8517304466778945,46.49298597194389,fixed
initial_value_80_samples_500_a_0.3_b_120_delta_1.0.csv,80,ols,5,13.90834866237544,2.789868272855891,3.7293898512190222,51.703406813627254,fixed
initial_value_80_samples_500_a_0.3_b_120_delta_1.0.csv,80,ols,8,24.420785981659836,3.736291517776507,4.94173916568447,50.303030303030305,fixed
initial_value_80_samples_500_a_0.3_b_120_delta_1.0.csv,80,ols,10,35.10074796927044,4.46631435647681,5.92458842193029,50.1002004008016,fixed
initial_value_80_samples_500_a_0.3_b_120_delta_1.0.csv,80,ols,12,42.43009398895142,4.984654493754384,6.513838652357872,45.824847250509166,fixed
initial_value_80_samples_500_a_0.3_b_120_delta_1.0.csv,80,ols,15,50.527280032274845,5.5152432115333925,7.1082543590022755,46.35627530364373,fixed
initial_value_80_samples_500_a_0.4_b_110_delta_0.1.csv,80,ols,3,0.09514349509386372,0.2374551930168569,0.308453392093301,58.4,fixed
