time,value
2.04,81.4776845840702
2.06,71.15934683746698
2.08,73.60944793021335
2.1,53.30563246819727
2.12,41.80138400344813
2.14,42.69455679392647
2.16,45.34724442457979
2.18,54.16897166696006
2.2,39.77792547539755
2.22,37.273340732886275
2.24,18.22468234998454
2.26,23.95922247418136
2.28,16.979593756600227
2.3,20.743172385468412
2.32,25.515747155657145
2.34,30.59295706329983
2.36,33.151009359572754
2.38,30.14933544957668
2.4,45.77147612546606
2.42,56.16710669989821
2.44,54.35373825274176
2.46,47.87948458702585
2.48,46.13891534807042
2.5,49.00775032147986
2.52,53.73662520567482
2.54,59.47952661718209
2.56,56.256804091268066
2.58,42.10354169353439
2.6,22.289299777879112
2.62,31.715920478679813
2.64,30.947037782237224
2.66,41.3157572544715
2.68,36.5512314829361
2.7,20.479856248176887
2.72,15.158925340227682
2.74,21.09529340655955
2.76,22.584821666573916
2.78,32.871795325634764
2.8,45.461029514799584
2.82,59.83776878962222
2.84,48.10087563885105
2.86,41.801739632909715
2.88,35.80671096702255
2.9,42.233738576514966
2.92,42.61159409153336
2.94,45.47346780259588
2.96,37.885418787165506
2.98,49.12754885633928
3.0,60.70094914194301
3.02,85.92481702355533
3.04,96.48214412426218
3.06,91.41128667293218
3.08,102.65921313697159
3.1,114.6077322138367
3.12,150.41838182725422
3.14,117.42291005644464
3.16,102.7429650998565
3.18,116.78357620026686
3.2,144.9278626551304
3.22,120.32753040876963
3.24,146.25671617660078
3.26,161.88400311245687
3.28,160.31548791438632
3.3,193.22037940519297
3.32,172.70756401434153
3.34,176.22912507475218
3.36,157.28442500812275
3.38,190.01086119792387
3.4,187.7014916934311
3.42,155.64804554768804
3.44,150.44998892457116
3.46,167.47873519023193
3.48,154.03251843807976
3.5,132.96615641801046
3.52,133.03737418194174
3.54,142.62612856647442
3.56,130.8256222396754
3.58,113.14593282505909
3.6,121.49041343117052
3.62,132.5190482034936
3.64,113.88312286148116
3.66,126.06816305345383
3.68,123.69468489016084
3.7,120.41864463676684
3.72,160.78035288461385
3.74,136.22507355348398
3.76,132.9583414581832
3.78,113.43524942943861
3.8,131.80381921926354
3.82,115.61053485657287
3.84,97.27974436644242
3.86,84.38317921990284
3.88,102.72810846768972
3.9,96.60552849468822
3.92,78.35821379888755
3.94,102.8109630069591
3.96,85.82850298468605
3.98,83.87785443098535
4.0,85.59051598072942
4.02,92.21530179904167
4.04,123.72422350160127
4.06,141.06798094047832
4.08,143.25935817784702
4.1,186.03782536808353
4.12,160.79971663430723
4.14,146.19143094629248
4.16,146.72504917971375
4.18,136.12141487902
4.2,133.4628020587549
4.22,150.8219758719766
4.24,167.66646316530284
4.26,181.49124719423497
4.28,190.3519005571957
4.3,192.77168338866966
4.32,174.90561376750478
4.34,206.40883264761356
4.36,220.39830903749834
4.38,221.90127601428716
4.4,245.42879919653228
4.42,249.90446832573465
4.44,275.85701202288215
4.46,257.02753181200217
4.48,257.6780578560737
4.5,219.9758072094728
4.52,214.7042129442436
4.54,173.4053884186883
4.56,179.16836132275736
4.58,181.67847429083022
4.6,199.55670660849222
4.62,209.5722005156963
4.64,219.16354583996429
4.66,213.74932556424653
4.68,215.35510706910327
4.7,203.73028080043093
4.72,148.35907572163745
4.74,146.1380049985116
4.76,158.27184255528186
4.78,158.09242405619338
4.8,152.99797096854067
4.82,142.4818581178547
4.84,186.10154169300108
4.86,199.73591155452118
4.88,190.66033862414838
4.9,185.05283294665347
4.92,177.11166296266794
4.94,171.77476913823412
4.96,161.29177597683213
4.98,165.34730620393643
5.0,163.83860644782027
