time,value
2.46,86.1656747125653
2.48,86.48488725610265
2.5,86.94939789574283
2.52,87.19652705871538
2.54,87.32988672683251
2.56,87.39035252431614
2.58,87.51813706912492
2.6,87.63095399652899
2.62,87.80058403044677
2.64,87.97655000303175
2.66,87.99457677200358
2.68,88.38706931430542
2.7,88.59416239173449
2.72,88.73547299547714
2.74,88.95314961090448
2.76,89.17968596476626
2.78,89.39102923687305
2.8,89.83455357614957
2.82,89.82508855015561
2.84,89.9097178056626
2.86,90.05824170776447
2.88,90.104303366674
2.9,90.09717738473643
2.92,90.02275748261017
2.94,90.21918479435313
2.96,90.46497884078374
2.98,90.58246068246258
3.0,90.69718642519712
3.02,91.11923274144353
3.04,91.2295952871312
3.06,90.97313779774575
3.08,91.14140832982454
3.1,91.14813017188226
3.12,91.51614517566652
3.14,91.530504013201
3.16,91.84478413518241
3.18,92.05664445697867
3.2,92.32952054821826
3.22,92.89214923920501
3.24,92.82169442336226
3.26,93.01066295175426
3.28,93.12271862256536
3.3,93.26723689464258
3.32,93.1935526055914
3.34,93.449444503979
3.36,93.57602932793456
3.38,93.91676319275356
3.4,94.17212602232742
3.42,94.08500619254141
3.44,94.04089919999522
3.46,94.12054360865478
3.48,94.37901929851563
3.5,94.55432165582444
3.52,94.6701703645928
3.54,94.65142906155417
3.56,94.61910452463384
3.58,94.6871320624187
3.6,94.82542404650617
3.62,95.01300467645711
3.64,95.02425703446539
3.66,95.13532987444778
3.68,95.20972657602861
3.7,95.26073515155419
3.72,95.02112357625171
3.74,95.14772380094595
3.76,95.24669561124217
3.78,95.29188089510768
3.8,95.56440907249798
3.82,95.65423783304642
3.84,95.7177008702316
3.86,96.04438153261694
3.88,96.21875792652509
3.9,96.1852330213267
3.92,96.1615212589752
3.94,96.28031616021062
3.96,96.35605829718538
3.98,96.30575680386174
4.0,96.23161436358878
4.02,96.27659541257238
4.04,96.34908069349778
4.06,96.52988125526606
4.08,96.50861845817846
4.1,96.54060911808112
4.12,96.4493477182643
4.14,96.70454992553228
4.16,96.61320610985887
4.18,96.50921108333594
4.2,96.37640712668657
4.22,96.51148745916173
4.24,96.54666135099356
4.26,96.51033202943822
4.28,96.58708562084745
4.3,96.84924641349006
4.32,97.11977490330919
4.34,97.36219265960952
4.36,97.44125867565631
4.38,97.27840079848612
4.4,97.19662660116262
4.42,97.19661724574792
4.44,97.30822962938184
4.46,97.42371518167505
4.48,97.27755180071134
4.5,96.99636594869088
4.52,97.20225781997361
4.54,97.33094461793007
4.56,97.26764807218248
4.58,97.54794645830579
4.6,97.64173044160627
4.62,97.54910802276153
4.64,97.57250852107737
4.66,97.64220010552498
4.68,97.55310855681947
4.7,97.53259655506616
4.72,97.63445853979708
4.74,97.57574930133502
4.76,97.12204218039956
4.78,97.07448509594448
4.8,96.83436703881205
4.82,96.80630975554472
4.84,97.07405681705832
4.86,97.32544321421807
4.88,97.061351477096
4.9,97.06347379499347
4.92,97.14101814974482
4.94,97.17001933418635
4.96,97.03089476896186
4.98,97.18270956344612
5.0,97.18644015186118
5.02,97.32341259138114
5.04,97.5303723234096
5.06,97.66328009181863
5.08,97.70939879703128
5.1,97.87644305900511
5.12,98.0205089913435
5.14,97.84896762863856
5.16,97.8828782677343
5.18,97.93653358156342
5.2,97.9492390071118
5.22,97.98602439043786
5.24,98.02784058940514
5.26,98.1887177161233
5.28,98.34345937411362
5.3,98.29339161624766
5.32,98.13307317774208
5.34,98.34554868779637
5.36,98.25279834669324
5.38,98.28657885433391
5.4,98.51007066399352
5.42,98.58042840714576
5.44,98.48091369876391
5.46,98.53702569446652
5.48,98.75528375511574
5.5,98.7440934948989
5.52,98.92868722763487
5.54,98.79162715776026
5.56,98.8725221517219
5.58,98.79902909707724
5.6,98.85239380094174
5.62,98.68388717979917
5.64,98.66242908177422
5.66,98.81809807364928
5.68,98.81747701063806
5.7,98.98851444419223
5.72,98.99522546882228
5.74,99.0975052862268
5.76,99.03811066330381
5.78,99.17052374397635
5.8,99.08070935305459
5.82,99.09349133855318
5.84,99.11498243665594
5.86,99.14461976325207
5.88,99.34567013803039
5.9,99.4898629937613
5.92,99.75666008955542
5.94,99.88817254815477
5.96,99.87035332992444
5.98,99.88413063083334
6.0,99.96188930443519
6.02,99.98847081779084
6.04,100.17829824731089
6.06,100.04958909701622
6.08,100.09805125492474
6.1,100.19443547419819
6.12,100.01454056783085
6.14,99.90630551870017
6.16,99.80912862651978
6.18,99.77027170438355
6.2,99.93347848600257
6.22,99.93154622697281
6.24,100.10223066422947
6.26,100.0871685373127
6.28,99.73496754046391
6.3,99.69488258319085
6.32,99.70385969212384
6.34,99.57223839907194
6.36,99.50601312092039
6.38,99.72294296165322
6.4,99.7282446184437
6.42,99.75633259188373
6.44,99.66614324960119
6.46,99.68793849586073
6.48,99.73296890675125
6.5,99.78137008545991
6.52,99.70953086426971
6.54,99.53889369177953
6.56,99.7864614655843
6.58,100.10674525096115
6.6,99.98370273276969
6.62,99.96235596671096
6.64,99.78856852288254
6.66,99.82723263828863
6.68,99.96019935146938
6.7,100.18207714147007
6.72,100.47475849202642
6.74,100.42030958153248
6.76,100.12102993365555
6.78,100.16940080857044
6.8,100.2819277481708
6.82,100.25390612242902
6.84,100.15121611440613
6.86,100.22432569087061
6.88,100.20699541914435
6.9,100.34609521573432
6.92,100.09621744153314
6.94,100.0013039724868
6.96,99.8269719962807
6.98,100.12291250703899
7.0,100.1260512728125
7.02,99.73532532808103
